Model Name,Model ID,Stream ID,Fusion Op,Original Ops,Memory Input(Bytes),Memory Output(Bytes),Memory Weight(Bytes),Memory Workspace(Bytes),Memory Total(Bytes),Task IDs
ge_default_20210418074351_41,5,675,generator_1/dense/l2_normalize_1,"generator_1/dense/l2_normalize_1/Rsqrt,generator_1/dense/MatMul_1,generator_1/dense/l2_normalize_1/Sum,generator_1/dense/l2_normalize_1/Maximum,generator_1/dense/l2_normalize_1,generator_1/dense/l2_normalize_1/Square",98336,98336,0,36,196708,96
ge_default_20210418074351_41,5,675,generator_1/resblock_up_2/res1/deconv_0/l2_normalize,"generator_1/resblock_up_2/res1/deconv_0/l2_normalize/Rsqrt,generator_1/resblock_up_2/res1/deconv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/resblock_up_2/res1/deconv_0/l2_normalize/Sum,generator_1/resblock_up_2/res1/deconv_0/l2_normalize/Maximum,generator_1/resblock_up_2/res1/deconv_0/l2_normalize,generator_1/resblock_up_2/res1/deconv_0/l2_normalize/Square",6944,6944,0,0,13888,106
ge_default_20210418074351_41,5,675,generator_1/resblock_up_2/res1/deconv_0/l2_normalize_1,"generator_1/resblock_up_2/res1/deconv_0/l2_normalize_1/Rsqrt,generator_1/resblock_up_2/res1/deconv_0/MatMul_1,generator_1/resblock_up_2/res1/deconv_0/l2_normalize_1/Sum,generator_1/resblock_up_2/res1/deconv_0/l2_normalize_1/Maximum,generator_1/resblock_up_2/res1/deconv_0/l2_normalize_1,generator_1/resblock_up_2/res1/deconv_0/l2_normalize_1/Square",1568,1568,0,0,3136,108
ge_default_20210418074351_41,5,675,generator_1/resblock_up_16/res1/batch_norm/beta/dense/MatMul,"generator_1/resblock_up_16/res1/batch_norm/beta/dense/BiasAdd,generator_1/resblock_up_16/res1/batch_norm/beta/dense/MatMul,generator/resblock_up_16/res1/batch_norm/beta/dense/bias",129216,6176,0,0,135392,116
ge_default_20210418074351_41,5,675,generator_1/resblock_up_16/res1/batch_norm/gamma/dense/MatMul,"generator_1/resblock_up_16/res1/batch_norm/gamma/dense/BiasAdd,generator_1/resblock_up_16/res1/batch_norm/gamma/dense/MatMul,generator/resblock_up_16/res1/batch_norm/gamma/dense/bias",129216,6176,0,0,135392,118
ge_default_20210418074351_41,5,675,generator_1/resblock_up_16/res1/batch_norm/batchnorm/Rsqrtgenerator_1/resblock_up_16/res1/batch_norm/batchnorm/mulgenerator_1/resblock_up_16/res1/batch_norm/batchnorm/mul_1generator_1/resblock_up_16/res1/batch_norm/batchnorm/mul_2generator_1/resblock_up_16/res1/batch_norm/batchnorm/subgenerator_1/resblock_up_16/res1/batch_norm/batchnorm/add_1generator_1/resblock_up_16/res1/Relu,"generator_1/resblock_up_16/res1/batch_norm/batchnorm/Rsqrt,generator_1/resblock_up_16/res1/batch_norm/batchnorm/mul,generator_1/resblock_up_16/res1/batch_norm/batchnorm/mul_1,generator_1/resblock_up_16/res1/batch_norm/batchnorm/mul_2,generator_1/resblock_up_16/res1/batch_norm/batchnorm/sub,generator_1/resblock_up_16/res1/batch_norm/batchnorm/add_1,generator_1/resblock_up_16/res1/Relu",123040,98336,0,0,221376,120
ge_default_20210418074351_41,5,675,generator_1/resblock_up_2/res2/batch_norm/beta/dense/MatMul,"generator_1/resblock_up_2/res2/batch_norm/beta/dense/BiasAdd,generator_1/resblock_up_2/res2/batch_norm/beta/dense/MatMul,generator/resblock_up_2/res2/batch_norm/beta/dense/bias",16320,800,0,0,17120,124
ge_default_20210418074351_41,5,675,generator_1/resblock_up_2/res2/batch_norm/gamma/dense/MatMul,"generator_1/resblock_up_2/res2/batch_norm/gamma/dense/BiasAdd,generator_1/resblock_up_2/res2/batch_norm/gamma/dense/MatMul,generator/resblock_up_2/res2/batch_norm/gamma/dense/bias",16320,800,0,0,17120,126
ge_default_20210418074351_41,5,675,generator_1/resblock_up_16/res1/deconv_0/l2_normalize,"generator_1/resblock_up_16/res1/deconv_0/l2_normalize/Rsqrt,generator_1/resblock_up_16/res1/deconv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/resblock_up_16/res1/deconv_0/l2_normalize/Sum,generator_1/resblock_up_16/res1/deconv_0/l2_normalize/Maximum,generator_1/resblock_up_16/res1/deconv_0/l2_normalize,generator_1/resblock_up_16/res1/deconv_0/l2_normalize/Square",55328,55328,0,36,110692,129
ge_default_20210418074351_41,5,675,generator_1/resblock_up_16/res1/deconv_0/l2_normalize_1,"generator_1/resblock_up_16/res1/deconv_0/l2_normalize_1/Rsqrt,generator_1/resblock_up_16/res1/deconv_0/MatMul_1,generator_1/resblock_up_16/res1/deconv_0/l2_normalize_1/Sum,generator_1/resblock_up_16/res1/deconv_0/l2_normalize_1/Maximum,generator_1/resblock_up_16/res1/deconv_0/l2_normalize_1,generator_1/resblock_up_16/res1/deconv_0/l2_normalize_1/Square",6176,6176,0,0,12352,131
ge_default_20210418074351_41,5,675,generator_1/resblock_up_16/res1/deconv_0/conv2d_transpose,"generator_1/resblock_up_16/res2/deconv_0/conv2d_transpose/input_sizes,generator_1/resblock_up_16/res1/deconv_0/conv2d_transpose",42516544,196640,0,0,42713184,137
ge_default_20210418074351_41,5,675,generator_1/resblock_up_2/res2/deconv_0/l2_normalize,"generator_1/resblock_up_2/res2/deconv_0/l2_normalize/Rsqrt,generator_1/resblock_up_2/res2/deconv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/resblock_up_2/res2/deconv_0/l2_normalize/Sum,generator_1/resblock_up_2/res2/deconv_0/l2_normalize/Maximum,generator_1/resblock_up_2/res2/deconv_0/l2_normalize,generator_1/resblock_up_2/res2/deconv_0/l2_normalize/Square",6944,6944,0,0,13888,142
ge_default_20210418074351_41,5,675,generator_1/resblock_up_2/res2/deconv_0/l2_normalize_1,"generator_1/resblock_up_2/res2/deconv_0/l2_normalize_1/Rsqrt,generator_1/resblock_up_2/res2/deconv_0/MatMul_1,generator_1/resblock_up_2/res2/deconv_0/l2_normalize_1/Sum,generator_1/resblock_up_2/res2/deconv_0/l2_normalize_1/Maximum,generator_1/resblock_up_2/res2/deconv_0/l2_normalize_1,generator_1/resblock_up_2/res2/deconv_0/l2_normalize_1/Square",800,800,0,0,1600,144
ge_default_20210418074351_41,5,675,generator_1/resblock_up_16/res2/batch_norm/beta/dense/MatMul,"generator_1/resblock_up_16/res2/batch_norm/beta/dense/BiasAdd,generator_1/resblock_up_16/res2/batch_norm/beta/dense/MatMul,generator/resblock_up_16/res2/batch_norm/beta/dense/bias",129216,6176,0,0,135392,150
ge_default_20210418074351_41,5,675,generator_1/resblock_up_16/res2/batch_norm/gamma/dense/MatMul,"generator_1/resblock_up_16/res2/batch_norm/gamma/dense/BiasAdd,generator_1/resblock_up_16/res2/batch_norm/gamma/dense/MatMul,generator/resblock_up_16/res2/batch_norm/gamma/dense/bias",129216,6176,0,0,135392,152
ge_default_20210418074351_41,5,675,generator_1/resblock_up_16/res2/batch_norm/batchnorm/Rsqrtgenerator_1/resblock_up_16/res2/batch_norm/batchnorm/mulgenerator_1/resblock_up_16/res2/batch_norm/batchnorm/mul_1generator_1/resblock_up_16/res2/batch_norm/batchnorm/mul_2generator_1/resblock_up_16/res2/batch_norm/batchnorm/subgenerator_1/resblock_up_16/res2/batch_norm/batchnorm/add_1generator_1/resblock_up_16/res2/Relu,"generator_1/resblock_up_16/res2/batch_norm/batchnorm/Rsqrt,generator_1/resblock_up_16/res2/batch_norm/batchnorm/mul,generator_1/resblock_up_16/res2/batch_norm/batchnorm/mul_1,generator_1/resblock_up_16/res2/batch_norm/batchnorm/mul_2,generator_1/resblock_up_16/res2/batch_norm/batchnorm/sub,generator_1/resblock_up_16/res2/batch_norm/batchnorm/add_1,generator_1/resblock_up_16/res2/Relu",417952,393248,0,0,811200,154
ge_default_20210418074351_41,5,675,generator_1/resblock_up_2/skip/deconv_0/l2_normalize,"generator_1/resblock_up_2/skip/deconv_0/l2_normalize/Rsqrt,generator_1/resblock_up_2/skip/deconv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/resblock_up_2/skip/deconv_0/l2_normalize/Sum,generator_1/resblock_up_2/skip/deconv_0/l2_normalize/Maximum,generator_1/resblock_up_2/skip/deconv_0/l2_normalize,generator_1/resblock_up_2/skip/deconv_0/l2_normalize/Square",6944,6944,0,0,13888,157
ge_default_20210418074351_41,5,675,generator_1/resblock_up_2/skip/deconv_0/l2_normalize_1,"generator_1/resblock_up_2/skip/deconv_0/l2_normalize_1/Rsqrt,generator_1/resblock_up_2/skip/deconv_0/MatMul_1,generator_1/resblock_up_2/skip/deconv_0/l2_normalize_1/Sum,generator_1/resblock_up_2/skip/deconv_0/l2_normalize_1/Maximum,generator_1/resblock_up_2/skip/deconv_0/l2_normalize_1,generator_1/resblock_up_2/skip/deconv_0/l2_normalize_1/Square",1568,1568,0,0,3136,159
ge_default_20210418074351_41,5,675,generator_1/resblock_up_16/res2/deconv_0/l2_normalize,"generator_1/resblock_up_16/res2/deconv_0/l2_normalize/Rsqrt,generator_1/resblock_up_16/res2/deconv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/resblock_up_16/res2/deconv_0/l2_normalize/Sum,generator_1/resblock_up_16/res2/deconv_0/l2_normalize/Maximum,generator_1/resblock_up_16/res2/deconv_0/l2_normalize,generator_1/resblock_up_16/res2/deconv_0/l2_normalize/Square",55328,55328,0,36,110692,166
ge_default_20210418074351_41,5,675,generator_1/resblock_up_16/res2/deconv_0/l2_normalize_1,"generator_1/resblock_up_16/res2/deconv_0/l2_normalize_1/Rsqrt,generator_1/resblock_up_16/res2/deconv_0/MatMul_1,generator_1/resblock_up_16/res2/deconv_0/l2_normalize_1/Sum,generator_1/resblock_up_16/res2/deconv_0/l2_normalize_1/Maximum,generator_1/resblock_up_16/res2/deconv_0/l2_normalize_1,generator_1/resblock_up_16/res2/deconv_0/l2_normalize_1/Square",6176,6176,0,0,12352,168
ge_default_20210418074351_41,5,675,generator_1/resblock_up_16/res2/deconv_0/conv2d_transpose,"generator_1/resblock_up_16/res2/deconv_0/conv2d_transpose/input_sizes,generator_1/resblock_up_16/res2/deconv_0/conv2d_transpose",42664000,196640,0,0,42860640,174
ge_default_20210418074351_41,5,675,generator_1/self_attention/f_conv/l2_normalize,"generator_1/self_attention/f_conv/l2_normalize/Rsqrt,generator_1/self_attention/f_conv/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/self_attention/f_conv/l2_normalize/Sum,generator_1/self_attention/f_conv/l2_normalize/Maximum,generator_1/self_attention/f_conv/l2_normalize,generator_1/self_attention/f_conv/l2_normalize/Square",800,800,0,0,1600,177
ge_default_20210418074351_41,5,675,generator_1/self_attention/f_conv/l2_normalize_1,"generator_1/self_attention/f_conv/l2_normalize_1/Rsqrt,generator_1/self_attention/f_conv/MatMul_1,generator_1/self_attention/f_conv/l2_normalize_1/Sum,generator_1/self_attention/f_conv/l2_normalize_1/Maximum,generator_1/self_attention/f_conv/l2_normalize_1,generator_1/self_attention/f_conv/l2_normalize_1/Square",128,128,0,0,256,179
ge_default_20210418074351_41,5,675,generator_1/resblock_up_16/skip/deconv_0/l2_normalize,"generator_1/resblock_up_16/skip/deconv_0/l2_normalize/Rsqrt,generator_1/resblock_up_16/skip/deconv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/resblock_up_16/skip/deconv_0/l2_normalize/Sum,generator_1/resblock_up_16/skip/deconv_0/l2_normalize/Maximum,generator_1/resblock_up_16/skip/deconv_0/l2_normalize,generator_1/resblock_up_16/skip/deconv_0/l2_normalize/Square",55328,55328,0,36,110692,186
ge_default_20210418074351_41,5,675,generator_1/resblock_up_16/skip/deconv_0/l2_normalize_1,"generator_1/resblock_up_16/skip/deconv_0/l2_normalize_1/Rsqrt,generator_1/resblock_up_16/skip/deconv_0/MatMul_1,generator_1/resblock_up_16/skip/deconv_0/l2_normalize_1/Sum,generator_1/resblock_up_16/skip/deconv_0/l2_normalize_1/Maximum,generator_1/resblock_up_16/skip/deconv_0/l2_normalize_1,generator_1/resblock_up_16/skip/deconv_0/l2_normalize_1/Square",6176,6176,0,0,12352,188
ge_default_20210418074351_41,5,675,generator_1/resblock_up_16/skip/deconv_0/conv2d_transpose,"generator_1/resblock_up_16/res2/deconv_0/conv2d_transpose/input_sizes,generator_1/resblock_up_16/skip/deconv_0/conv2d_transpose",42516544,196640,0,0,42713184,194
ge_default_20210418074351_41,5,675,generator_1/resblock_up_8/skip/deconv_0/conv2d_transpose,"generator_1/resblock_up_8/res1/deconv_0/conv2d_transpose/input_sizes,generator_1/resblock_up_8/skip/deconv_0/conv2d_transpose",21430336,393248,0,0,21823584,198
ge_default_20210418074351_41,5,675,generator_1/self_attention/g_conv/l2_normalize,"generator_1/self_attention/g_conv/l2_normalize/Rsqrt,generator_1/self_attention/g_conv/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/self_attention/g_conv/l2_normalize/Sum,generator_1/self_attention/g_conv/l2_normalize/Maximum,generator_1/self_attention/g_conv/l2_normalize,generator_1/self_attention/g_conv/l2_normalize/Square",800,800,0,0,1600,201
ge_default_20210418074351_41,5,675,generator_1/self_attention/g_conv/l2_normalize_1,"generator_1/self_attention/g_conv/l2_normalize_1/Rsqrt,generator_1/self_attention/g_conv/MatMul_1,generator_1/self_attention/g_conv/l2_normalize_1/Sum,generator_1/self_attention/g_conv/l2_normalize_1/Maximum,generator_1/self_attention/g_conv/l2_normalize_1,generator_1/self_attention/g_conv/l2_normalize_1/Square",128,128,0,0,256,203
ge_default_20210418074351_41,5,675,generator_1/resblock_up_8/res1/batch_norm/beta/dense/MatMul,"generator_1/resblock_up_8/res1/batch_norm/beta/dense/BiasAdd,generator_1/resblock_up_8/res1/batch_norm/beta/dense/MatMul,generator/resblock_up_8/res1/batch_norm/beta/dense/bias",129216,6176,0,0,135392,211
ge_default_20210418074351_41,5,675,generator_1/resblock_up_8/res1/batch_norm/gamma/dense/MatMul,"generator_1/resblock_up_8/res1/batch_norm/gamma/dense/BiasAdd,generator_1/resblock_up_8/res1/batch_norm/gamma/dense/MatMul,generator/resblock_up_8/res1/batch_norm/gamma/dense/bias",129216,6176,0,0,135392,213
ge_default_20210418074351_41,5,675,generator_1/resblock_up_8/res1/batch_norm/batchnorm/Rsqrtgenerator_1/resblock_up_8/res1/batch_norm/batchnorm/mulgenerator_1/resblock_up_8/res1/batch_norm/batchnorm/mul_1generator_1/resblock_up_8/res1/batch_norm/batchnorm/mul_2generator_1/resblock_up_8/res1/batch_norm/batchnorm/subgenerator_1/resblock_up_8/res1/batch_norm/batchnorm/add_1generator_1/resblock_up_8/res1/Relu,"generator_1/resblock_up_8/res1/batch_norm/batchnorm/Rsqrt,generator_1/resblock_up_8/res1/batch_norm/batchnorm/mul,generator_1/resblock_up_8/res1/batch_norm/batchnorm/mul_1,generator_1/resblock_up_8/res1/batch_norm/batchnorm/mul_2,generator_1/resblock_up_8/res1/batch_norm/batchnorm/sub,generator_1/resblock_up_8/res1/batch_norm/batchnorm/add_1,generator_1/resblock_up_8/res1/Relu",417952,393248,0,0,811200,215
ge_default_20210418074351_41,5,675,generator_1/self_attention/h_conv/l2_normalize,"generator_1/self_attention/h_conv/l2_normalize/Rsqrt,generator_1/self_attention/h_conv/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/self_attention/h_conv/l2_normalize/Sum,generator_1/self_attention/h_conv/l2_normalize/Maximum,generator_1/self_attention/h_conv/l2_normalize,generator_1/self_attention/h_conv/l2_normalize/Square",800,800,0,0,1600,218
ge_default_20210418074351_41,5,675,generator_1/self_attention/h_conv/l2_normalize_1,"generator_1/self_attention/h_conv/l2_normalize_1/Rsqrt,generator_1/self_attention/h_conv/MatMul_1,generator_1/self_attention/h_conv/l2_normalize_1/Sum,generator_1/self_attention/h_conv/l2_normalize_1/Maximum,generator_1/self_attention/h_conv/l2_normalize_1,generator_1/self_attention/h_conv/l2_normalize_1/Square",416,416,0,0,832,220
ge_default_20210418074351_41,5,675,generator_1/resblock_up_8/res1/deconv_0/l2_normalize,"generator_1/resblock_up_8/res1/deconv_0/l2_normalize/Rsqrt,generator_1/resblock_up_8/res1/deconv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/resblock_up_8/res1/deconv_0/l2_normalize/Sum,generator_1/resblock_up_8/res1/deconv_0/l2_normalize/Maximum,generator_1/resblock_up_8/res1/deconv_0/l2_normalize,generator_1/resblock_up_8/res1/deconv_0/l2_normalize/Square",27680,27680,0,36,55396,227
ge_default_20210418074351_41,5,675,generator_1/resblock_up_8/res1/deconv_0/l2_normalize_1,"generator_1/resblock_up_8/res1/deconv_0/l2_normalize_1/Rsqrt,generator_1/resblock_up_8/res1/deconv_0/MatMul_1,generator_1/resblock_up_8/res1/deconv_0/l2_normalize_1/Sum,generator_1/resblock_up_8/res1/deconv_0/l2_normalize_1/Maximum,generator_1/resblock_up_8/res1/deconv_0/l2_normalize_1,generator_1/resblock_up_8/res1/deconv_0/l2_normalize_1/Square",6176,6176,0,0,12352,229
